plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number
2019_NYH2_plot_1,PHW65_MoG_0041/PHT69,1,1,,1,1,1
2019_NYH2_plot_2,PHW65_MoG_0156/PHT69,2,1,,1,2,1
2019_NYH2_plot_3,PHW65_MoG_0511/PHT69,3,1,,1,3,1
2019_NYH2_plot_4,PHW65_MoG_0133/PHT69,4,1,,1,4,1
2019_NYH2_plot_5,PHW65_MoG_0620/PHT69,5,1,,1,5,1
2019_NYH2_plot_6,PHW65_MoG_0253/PHT69,6,1,,1,6,1
2019_NYH2_plot_7,PHW65_MoG_0040/PHT69,7,1,,1,7,1
2019_NYH2_plot_8,PHW65_MoG_0429/PHT69,8,1,,1,8,1
2019_NYH2_plot_9,PHW65_MoG_0098/PHT69,9,1,,1,9,1
2019_NYH2_plot_10,PHW65_MoG_0296/PHT69,10,1,,1,10,1
2019_NYH2_plot_11,PHW65_MoG_0421/PHT69,11,1,,1,11,1
2019_NYH2_plot_12,PHW65_MoG_0359/PHT69,12,1,,1,12,1
2019_NYH2_plot_13,PHW65_MoG_0155/PHT69,13,1,,1,13,1
2019_NYH2_plot_14,PHW65_MoG_0115/PHT69,14,1,,1,14,1
2019_NYH2_plot_15,PHW65_MoG_0209/PHT69,15,1,,1,15,1
2019_NYH2_plot_16,PHW65_MoG_0051/PHT69,16,1,,1,16,1
2019_NYH2_plot_17,PHW65_MoG_0060/PHT69,17,1,,1,17,1
2019_NYH2_plot_18,PHW65_MoG_0335/PHT69,18,1,,1,18,1
2019_NYH2_plot_19,PHW65_MoG_0130/PHT69,19,1,,1,19,1
2019_NYH2_plot_20,PHW65_MoG_0128/PHT69,20,1,,1,20,1
2019_NYH2_plot_21,PHW65_MoG_0553/PHT69,21,1,,1,21,1
2019_NYH2_plot_22,PHW65_MoG_0431/PHT69,22,1,,1,22,1
2019_NYH2_plot_23,PHW65_MoG_0096/PHT69,23,1,,1,23,1
2019_NYH2_plot_24,PHW65_MoG_0148/PHT69,24,1,,1,24,1
2019_NYH2_plot_25,PHW65_MoG_0448/PHT69,25,1,,1,25,1
2019_NYH2_plot_26,PHW65_MoG_0377/PHT69,26,1,,1,26,1
2019_NYH2_plot_27,F42/H95,27,1,,1,27,1
2019_NYH2_plot_28,PHW65_MoG_0567/PHT69,28,1,,1,28,1
2019_NYH2_plot_29,PHW65_MoG_0025/PHT69,29,1,,1,29,1
2019_NYH2_plot_30,PHW65_MoG_0271/PHT69,30,1,,1,30,1
2019_NYH2_plot_31,PHW65_MoG_0170/PHT69,31,1,,1,31,1
2019_NYH2_plot_32,PHW65_MoG_0422/PHT69,32,1,,1,32,1
2019_NYH2_plot_33,PHW65_MoG_0381/PHT69,33,1,,1,33,1
2019_NYH2_plot_34,PHW65_MoG_0016/PHT69,34,1,,1,34,1
2019_NYH2_plot_35,F42/OH43,35,1,,1,35,1
2019_NYH2_plot_36,PHW65/PHT69,36,1,,1,36,1
2019_NYH2_plot_37,PHW65_MoG_0277/PHT69,37,1,,1,37,1
2019_NYH2_plot_38,PHW65_MoG_0591/PHT69,38,1,,1,38,1
2019_NYH2_plot_39,PHW65_MoG_0660/PHT69,39,1,,1,39,1
2019_NYH2_plot_40,PHW65_MoG_0050/PHT69,40,1,,1,40,1
2019_NYH2_plot_41,PHW65_MoG_0569/PHT69,41,1,,1,41,1
2019_NYH2_plot_42,PHW65_MoG_0163/PHT69,42,1,,1,42,1
2019_NYH2_plot_43,PHW65_MoG_0423/PHT69,43,1,,1,43,1
2019_NYH2_plot_44,PHW65_MoG_0021/PHT69,44,1,,1,44,1
2019_NYH2_plot_45,PHW65_MoG_0544/PHT69,45,1,,1,45,1
2019_NYH2_plot_46,PHW65_MoG_0109/PHT69,46,1,,1,46,1
2019_NYH2_plot_47,PHW65_MoG_0232/PHT69,47,1,,1,47,1
2019_NYH2_plot_48,PHW65_MoG_0069/PHT69,48,1,,1,48,1
2019_NYH2_plot_49,PHW65_MoG_0310/PHT69,49,1,,1,49,1
2019_NYH2_plot_50,PHW65_MoG_0067/PHT69,50,1,,1,50,1
2019_NYH2_plot_51,PHW65_MoG_0160/PHT69,51,1,,1,50,2
2019_NYH2_plot_52,PHW65_MoG_0152/PHT69,52,1,,1,49,2
2019_NYH2_plot_53,PHW65_MoG_0037/PHT69,53,1,,1,48,2
2019_NYH2_plot_54,PHW65_MoG_0116/PHT69,54,1,,1,47,2
2019_NYH2_plot_55,PHW65_MoG_0341/PHT69,55,1,,1,46,2
2019_NYH2_plot_56,PHW65_MoG_0467/PHT69,56,1,,1,45,2
2019_NYH2_plot_57,PHW65_MoG_0217/PHT69,57,1,,1,44,2
2019_NYH2_plot_58,PHW65_MoG_0461/PHT69,58,1,,1,43,2
2019_NYH2_plot_59,PHW65_MoG_0499/PHT69,59,1,,1,42,2
2019_NYH2_plot_60,PHW65_MoG_0215/PHT69,60,1,,1,41,2
2019_NYH2_plot_61,MoG/PHT69,61,1,,1,40,2
2019_NYH2_plot_62,PHW65_MoG_0223/PHT69,62,1,,1,39,2
2019_NYH2_plot_63,PHW65_MoG_0241/PHT69,63,1,,1,38,2
2019_NYH2_plot_64,PHW65_MoG_0001/PHT69,64,1,,1,37,2
2019_NYH2_plot_65,PHW65_MoG_0178/PHT69,65,1,,1,36,2
2019_NYH2_plot_66,PHW65_MoG_0176/PHT69,66,1,,1,35,2
2019_NYH2_plot_67,PHW65_MoG_0150/PHT69,67,1,,1,34,2
