,plot_name,accession_name,plot_number,block_number,is_a_control,rep_number,row_number,col_number,NDVI,NDRE,TGI,VARI
0,2019_NYH2_plot_1,PHW65_MoG_0041/PHT69,1,1,,1,1,1,0.7151920161866541,0.42742727469010083,0.022881098653560642,0.31808422313186824
1,2019_NYH2_plot_2,PHW65_MoG_0156/PHT69,2,1,,1,2,1,0.7635677689432873,0.46836815465290355,0.026720858417679183,0.35075170055971777
2,2019_NYH2_plot_3,PHW65_MoG_0511/PHT69,3,1,,1,3,1,0.7232321293902176,0.44520487682252385,0.022624095471521943,0.34250038156288154
3,2019_NYH2_plot_4,PHW65_MoG_0133/PHT69,4,1,,1,4,1,0.7279942706144519,0.4473645332806752,0.02308789127219476,0.32634262783241436
4,2019_NYH2_plot_5,PHW65_MoG_0620/PHT69,5,1,,1,5,1,0.8116977580347262,0.4957723278104172,0.02983805034365624,0.36148698483209313
5,2019_NYH2_plot_6,PHW65_MoG_0253/PHT69,6,1,,1,6,1,0.7683221912986926,0.47239200158874556,0.027183198003041344,0.34306890058694695
6,2019_NYH2_plot_7,PHW65_MoG_0040/PHT69,7,1,,1,7,1,0.6838723760241192,0.394330023634278,0.025104465083884527,0.333429760737394
7,2019_NYH2_plot_8,PHW65_MoG_0429/PHT69,8,1,,1,8,1,0.7452183484359801,0.45079798067484456,0.025011820575659028,0.3406376945147454
8,2019_NYH2_plot_9,PHW65_MoG_0098/PHT69,9,1,,1,9,1,0.7287277714861803,0.43877113006279034,0.02535376199083771,0.3392695258460886
9,2019_NYH2_plot_10,PHW65_MoG_0296/PHT69,10,1,,1,10,1,0.7349020507982265,0.4435029364226108,0.02532573390874727,0.3441249888185843
10,2019_NYH2_plot_11,PHW65_MoG_0421/PHT69,11,1,,1,11,1,0.7298919889305391,0.4432264811929994,0.026492099310099618,0.36140135909756554
11,2019_NYH2_plot_12,PHW65_MoG_0359/PHT69,12,1,,1,12,1,0.7250651053753496,0.4464441410225468,0.024170183679014887,0.356102577604651
12,2019_NYH2_plot_13,PHW65_MoG_0155/PHT69,13,1,,1,13,1,0.7795506392956861,0.48656435460305836,0.02614314574996498,0.36601952289250705
13,2019_NYH2_plot_14,PHW65_MoG_0115/PHT69,14,1,,1,14,1,0.7649079635871219,0.4791916525597988,0.027963256320805083,0.37499379747882283
14,2019_NYH2_plot_15,PHW65_MoG_0209/PHT69,15,1,,1,15,1,0.7164161430266283,0.4455703725467937,0.023753589800093042,0.3519710233963037
15,2019_NYH2_plot_16,PHW65_MoG_0051/PHT69,16,1,,1,16,1,0.7162778346928247,0.45103417546974606,0.023158583698592913,0.3527491092842037
16,2019_NYH2_plot_17,PHW65_MoG_0060/PHT69,17,1,,1,17,1,0.7306632956456333,0.44601556228034495,0.025888123958159284,0.3469456872927922
17,2019_NYH2_plot_18,PHW65_MoG_0335/PHT69,18,1,,1,18,1,0.7003884662923213,0.43777276325272024,0.022042266032743684,0.35992254302805676
18,2019_NYH2_plot_19,PHW65_MoG_0130/PHT69,19,1,,1,19,1,0.7211687406434757,0.4426985495945717,0.025059086820106633,0.3521799963206813
19,2019_NYH2_plot_20,PHW65_MoG_0128/PHT69,20,1,,1,20,1,0.6855907416190015,0.4107940183504613,0.02352163456264209,0.3489357823868652
20,2019_NYH2_plot_21,PHW65_MoG_0553/PHT69,21,1,,1,21,1,0.7269550599914599,0.43830789596416997,0.02713712438178726,0.3594992526032305
21,2019_NYH2_plot_22,PHW65_MoG_0431/PHT69,22,1,,1,22,1,0.7572991303457471,0.45792171108425206,0.029394028834146897,0.35182890047834325
22,2019_NYH2_plot_23,PHW65_MoG_0096/PHT69,23,1,,1,23,1,0.5890266289283337,0.3514978033792348,0.019533250858085754,0.3467557579368361
23,2019_NYH2_plot_24,PHW65_MoG_0148/PHT69,24,1,,1,24,1,0.6648441099677469,0.3933975920153159,0.023148496514492523,0.32475635765453
24,2019_NYH2_plot_25,PHW65_MoG_0448/PHT69,25,1,,1,25,1,0.748581352605312,0.44477989629272074,0.02767501827001136,0.3505316165429819
25,2019_NYH2_plot_26,PHW65_MoG_0377/PHT69,26,1,,1,26,1,0.7124393038999091,0.4344610388843226,0.022846324310001165,0.31571884829448954
26,2019_NYH2_plot_27,F42/H95,27,1,,1,27,1,0.7049712996264985,0.41942117678563695,0.024661813791594163,0.355769863679555
27,2019_NYH2_plot_28,PHW65_MoG_0567/PHT69,28,1,,1,28,1,0.6777089842347195,0.4103215003950298,0.02422275865474395,0.3643139948287007
28,2019_NYH2_plot_29,PHW65_MoG_0025/PHT69,29,1,,1,29,1,0.6675266383088597,0.404046218328403,0.0212338395001547,0.33560841296445926
29,2019_NYH2_plot_30,PHW65_MoG_0271/PHT69,30,1,,1,30,1,0.7251626579533199,0.4372252536282639,0.026659681587035296,0.36633198368722864
30,2019_NYH2_plot_31,PHW65_MoG_0170/PHT69,31,1,,1,31,1,0.6954596419809137,0.4263917416735724,0.02187386687954957,0.33109750025738355
31,2019_NYH2_plot_32,PHW65_MoG_0422/PHT69,32,1,,1,32,1,0.6736521963676011,0.41629083045148163,0.022382357723165585,0.3717633106667049
32,2019_NYH2_plot_33,PHW65_MoG_0381/PHT69,33,1,,1,33,1,0.7572870481793842,0.4687264100257496,0.02558904260639785,0.35443732021830626
33,2019_NYH2_plot_34,PHW65_MoG_0016/PHT69,34,1,,1,34,1,0.7852005875658157,0.48892620715689367,0.026393734356566487,0.34581106192225836
34,2019_NYH2_plot_35,F42/OH43,35,1,,1,35,1,0.7971231553476984,0.4803170515042731,0.02963890581337978,0.38087766940477735
35,2019_NYH2_plot_36,PHW65/PHT69,36,1,,1,36,1,0.7430849465453113,0.464406277893153,0.02469308795149346,0.333215583883684
36,2019_NYH2_plot_37,PHW65_MoG_0277/PHT69,37,1,,1,37,1,0.6728851653133637,0.42825289183759463,0.01823971830145997,0.3255050483740393
